"url","description","name","Herkunftsland","Anbauregion","Weingut","Produktkategorie","Qualitätsstufe","Cuvee","Geschmacksrichtung","Farbnuance","Flaschengröße","Alkoholgehalt","Restzucker","Säure","Trinktemperatur","Passende Speisen","Hinweis auf Allergene","Auszeichnungen","Hersteller"
"https://www.vindor.de/2008er-chateau-marsau-a.c.-cotes-de-franc","Aufgrund seiner bevorzugten geografischen Lage, kann es Château Marsau problemlos mit den Weinen aus Pomerol und den Grand Cru Weinen des Saint-Emilion aufnehmen und ist dabei ungemein erschwinglich. Der 2008er Château Marsau ist ein vielschichtiger Côtes de Francs. Sein Geschmack ist von dunklen Beerenaromen geprägt, welche von blumigen Nuancen, Anis und Vanille untermalt sind. Die Tannine sind zwar präsent, bleiben aber im Hintergrund und runden den Wein angenehm ab. Serviert werden sollte dieser Tropfen bei einer Temperatur von 16 – 18 °C.","2008er Château Marsau, A.C. Cotes de Franc","Frankreich","Cotes de Franc","Château Marsau","Rotwein","A.C. Cotes de Franc",,"trocken","Sehr dunkles Granat mit lila Schimmer","0,75 l","14 %","< 2 g/l","< 5,0 g/l","16-18 °C","kräftige Gerichte von Schwein und Rind, Braten in dunklen Soßen, gegrilltes Fleisch, Lamm und Wildgerichte, kräftige Käsesorten","enthält Sulfite","Robert Parker 89","Château Marsau, 3 Bernarderie, 33570 Francs, Frankreich"
"https://www.vindor.de/2010er-chateau-calon-segur-ac-saint-estephe-3.-grand-cru-classe","Robert Parker gibt 94+ Punkte und schreibt: Wine Advocate-Parker : The 2010 is performing well,. With Cabernet Sauvignon dominating the blend, the wine has a dense plum/purple color along with notes of underbrush, black currants, plum, licorice, smoky charcuterie and some roasted herbs in the background. Full-bodied, moderately tannic and set for an extremely long life, this will not be a wine to please those looking for immediate gratification. Rather, I would suspect this wine will close down even further in bottle and, despite its full-bodied, powerful, massive size, it will need at least a decade of cellaring before it is accessible. This is another 2010 capable of lasting 35-50 years. -  Der WEINWISSER  (Rene Gabriel) gibt 19 Punkte und schreibt: ""86 % Cabernet Sauvignon, 12 % Merlot, 2 % Petit Verdot. 14 % Presswein. Wegen Hagels Halbierung des sonst üblichen Ertrages. Sattes Purpur-Granat. Warmes Cabernet Bouquet, Sommertrüffel, dunkle Hölzer und schwarze Oliven, viel Tiefe. Reiche Adstringenz,  viel Tiefgang, schwarze Beeren. Eher feminin als barock, also atypisch. Vermittelt den Geschmack eines grossen, klassischen Jahrgangs. Ein Calon für die Ewigkeit! 19/20 2022 - 2060"" Quelle: Gabriel, René; „WEINWISSER“ N° 6/2011","2010er Château Calon Segur, AC Saint-Estephe, 3. Grand Cru Classé","Frankreich","Bordeaux","Château Calon Segur","Rotwein","AC Saint-Estephe 3. Grand Cru Calssé","35% Merlot, 50% Cabernet Sauvignon, 10% Cabernet Franc, 5% Petit Verdot","trocken","sehr dichtes, dunkel glänzendes Kirsch-Purpurrot","0,75 l","14 %","< 2 g/l","3,6 g/l","16-18 °C","zu gegrilltem Lamm- und Rindfleisch (Entrecotes, Steak, Lammkarree), knusprigem Schweinebraten, gebratenem Kaninchen oder auch zu gereiften, fruchtig-würzigen Käsesorten (Cantal, Laguiole, Brie)","enthält Sulfite","Robert Parker 94+,                                                                                                                                                                                 WEINWISSER 19","Chateau Calon Segur, St. Estephe - 33180 St. Estephe - Frankreich"
"https://www.vindor.de/2010er-chateau-de-reignac-grand-vin-de-reignac-ac-bordeaux-superieur","Schauen Sie sich das an: Hier der Link zum Video ""die unglaubliche Weinprobe"", wo ein Bordeaux Supérieur - Chateau Reignac - bessere Bewertungen bekommt als Petrus, Lafite Rothschild, Mouton Rothschild, Margaux, Cheval Blanc, usw... http://www.youtube.com/watch?v=zGMDu9HwfWE     Das Herz eines Weinliebhabers schlägt höher, wenn er auf eine seltene Perle stößt: einen herausragenden Wein für wenig Geld. Sein Terroir, die angewendeten Methoden und das Ergebnis der Arbeit machen Reignac zu einem Beispiel für einen nicht klassifizierten Grand Cru. Ausbau für 18 Monate in 100% neuen französischen Barriques, Schönung, keine Filtration.","2010er Chateau de Reignac, Grand Vin de REIGNAC, AC Bordeaux Supérieur","Frankreich","Bordeaux","Chateau de Reignac","Rotwein","AC Bordeaux Superieur","75% Merlot, 25% Cab. Sauvignon","trocken","granatrot","0,75 l","14,5 %","2,0 g/l","4,3 g/l","16-18 °C","zu feinen gebratenen oder geschmorten Fleischgerichten von Rind und Lamm, zu zartem Wildfleisch vom Reh oder Hirschkalb oder auch zu einer gebratenen Gans","enthält Sulfite","Paris Goldmedaille,                                                                                                                                                                                 Robert Parker 90","Chateau de Reignac, 38 chemin de Reignac - 33450 Saint Loubes - Frankreich"
"https://www.vindor.de/2010er-chateau-lynch-bages-ac-pauillac-5.-grand-cru-calsse","Robert Parker gibt sagenhafte 96/100 Punkte und schreibt: ""The 2010 Lynch Bages is an absolutely brilliant wine, and somewhat reminiscent at this stage in its development of the profound 1989. Jean-Charles Cazes, who took over for his father a number of years ago, has produced a magnificent wine with the classic creme de cassis note intermixed with smoke, graphite and spring flowers. It is a massive Lynch Bages, full-bodied and very 1989-ish, with notable power, loads of tannin, and extraordinary concentration and precision. This is not a Lynch Bages to drink in its exuberant youth, but one to hold on to for 5-6 years and drink over the following three decades.""
- Der WEINWISSER (Rene Gabriel) gibt 19/20 Punkte und schreibt: "" Extrem dunkles Purpur mit lila und violetten Reflexen. Blau- und schwarzbeeriges Bouquet, kompakt und auch gebunden, mittlere Intensität. Erstaunlich geschmeidig im Gaumen, fleischige Tannine, ausgeglichene Adstringenz, leicht kernige Substanz mit viel Rasse. Ein Lynch-Bages-Bolide, dem 1990er verwandt, aber mit wesentlich mehr Konzentration und Power! Wer den 2000er schon ausgestrunken hat, sollte sich hiermit einen würdigen Ersatz erwerben.""
- JamesSuckling gibt unglaubliche 98/100 Punkte und schreibt: ""A wine with great beauty and finesse. Such elegance and ethereal quality for this estate. Full body, with ultra-fine tannins and a juicy delicious finish. Long and beautiful. This is the best Lynch in a long, long time. I love the precision here. Try in 2018.""","2010er Château Lynch-Bages, AC Pauillac, 5. Grand Cru Calssé","Frankreich","Pauillac","Château Lynch-Bages","Rotwein","AC Pauillac 5. Grand Cru Classé","Cabernet Sauvignon, Merlot, Cabernet Franc, Petiit Verdot","trocken","granatrot","0,75 l","13,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","Zu festlichen Speisen wie Wild, kräftigen Fleishgreichten (Lamm, Rind), kräftigem Käse.","enthält Sulfite","Wine Spectator 95-98,                                                                                                                                                                                 WEINWISSER 19,                                                                                                                                                                                 James Suckling 98,                                                                                                                                                                                 Robert Parker 96","Château Lynch-Bages, Craste des Jardins - 33250 Pauillac - Frankreich"
"https://www.vindor.de/2010er-chateau-marsau-a.c.-cotes-de-franc","Aufgrund seiner bevorzugten geografischen Lage, kann es Château Marsau problemlos mit den Weinen aus Pomerol und den Grand Cru Weinen des Saint-Emilion aufnehmen und ist dabei ungemein erschwinglich. Rober Parker gibt 87 Punkte und schreibt: ""Sweet, seductive blueberry and raspberry fruit along with some toast and damp earth characterize this always vibrant, exuberant style of wine that seems to be mostly Merlot. Drink it over the next 5-7 years."" Ein wundervoller Wein aus dem Top Jahrgang 2010.","2010er Château Marsau, A.C. Cotes de Franc","Frankreich","Cotes de Franc","Château Marsau","Rotwein","A.C. Cotes de Franc",,"trocken","Sehr dunkles Granat mit lila Schimmer","0,75 l","14,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","kräftige Gerichte von Schwein und Rind, Braten in dunklen Soßen, gegrilltes Fleisch, Lamm und Wildgerichte, kräftige Käsesorten","enthält Sulfite","James Suckling 91-92","Château Marsau, 3 Bernarderie, 33570 Francs, Frankreich"
"https://www.vindor.de/2010er-chateau-mouton-rothschild-ac-pauillac-1.-grand-cru-classe","Der 2010er Mouton Rothschild geht als einer der ganz großen Jahrgänge in die Geschichte ein.  Robert Parker gibt sagenhafte 99 Punkte und schreibt: ""Only 49% of the production made it into the 2010 Mouton Rothschild, which has astrikingly beautiful label by Jeffrey Koons. This is a truly great wine, with avery high percentage of Cabernet Sauvignon (94%) and the other 6% Merlot. At13.9% natural alcohol, Mouton’s director, Philippe Dhalluin, has clearlyproduced another 50- to 60-year wine that has a chance at perfection in about15 years time, when I suspect this wine will be rounding into drinkingcondition. It is dense, rich and full-bodied, with the classic Mouton creme decassis, forest floor, licorice and floral notes, but also some blueberry andhints of subtle espresso and mulberry. The wine has more minerality andprecision than the rich, extravagantly opulent 2009, and while that may pleasesome, others will have their patience tested as they wait and wait for thiscompelling Mouton Rothschild to hit full maturity.""","2010er Château Mouton Rothschild, AC Pauillac 1. Grand Cru Classé","Frankreich","Pauillac","Château Mouton Rothschild","Rotwein","1. Grand Cru Classée","94% Cabernet Sauvignon, 6% Merlot","trocken","dunkelrot mit kirschfarbenen Reflexen","0,75 l","13,5 %","2,0 g/l","4,9 g/l","18 °C","gebratenem Rind- oder Lammfleisch, z.B. Chateaubriand, Tournedos, Rumpsteak, rosa gebratene Hochrippe, geschmorte Ochsenbäckchen... passend auch zu Fleisch vom jungen Reh oder Hirschkalb oder zu einer gebratenen Gans","enthält Sulfite","James Suckling 100,                                                                                                                                                                                 WEINWISSER 19,                                                                                                                                                                                 Robert Parker 99,                                                                                                                                                                                 Wine Spectator 98 Punkte","Château Mouton Rothschild, 33250 Pauillac - France"
"https://www.vindor.de/2010er-vina-falernia-donna-maria-syrah-do-elqui-valley","Weltklasse Syrah aus dem spektakulärsten Weinanbaugebiet Chiles, dem Elqui Valley. Die Nase des Falernia Donna Maria Syrah unfiltered Elqui Valley duftet nach Schattenmorellen, Eukalyptusschokolade, Minze, türkischem Mokka, Haselnusscreme, Nougat und Krokant. Einfach herrlich. Etwas Graphit und schwarze Noten kommen durch. Am Gaumen überzeugt uns dieser Wein mit einer enormen Eleganz, Weichheit und Präzision, die ihres gleichen sucht. Die unflitrierte Reserva sorgt für einen endlosen Aromentanz am Gaumen. Extrem gut.Der Donna Maria Syrah wird unfiltriert „auf die Flasche gezogen“, was für eine besonders satte, saftige und volle Aromatik sorgt. Das geschieht auf eine Weise, dass kaum störender Trub mit hineingelangt.","2010er Viña Falernia, Donna Maria Syrah, DO Elqui Valley","Chile","D.O. Elqui Valley","Vina Falernia","Rotwein","D.O.",,"trocken","dunkelrot","0,75 l","14,5 %","3,0 g/l","5,0 g/l","18 °C","gebratenem Rind- oder Lammfleisch, z.B. Chateaubriand, Tournedos, Rumpsteak, rosa gebratene Hochrippe, geschmorte Ochsenbäckchen... passend auch zu Fleisch vom jungen Reh oder Hirschkalb oder zu einer gebratenen Gans","enthält Sulfite",,"Vina Falernia, RUTA 41, KM 52 CRUCE GUALLIGUAICA - VICUÑA - IV REGION  - CHILE"
"https://www.vindor.de/2011er-chateau-duhart-milon-rothschild-ac-pauillac-4.-grand-cru-classe","Robert Parker gibt 90 Punkte und schreibt: ""Robert Parker Wine Advocate im April 2012: ''Tart acids give this dark ruby/purple-tinged wine a crunchy, fresh, lively feel on the palate. Composed of 75% Cabernet Sauvignon and 25% Merlot, this medium-bodied 2011 reveals loads of finesse and purity, but is slightly superficial compared to recent vintages such as 2009 and 2010. It should drink well for 10-15 years''","2011er Château Duhart-Milon-Rothschild, AC Pauillac, 4. Grand Cru Classé","Frankreich","Pauillac","Château Duhart-Milon-Rothschild","Rotwein","AC Pauillac 4. Grand Cru Classé","75% Cabernet Sauvignon, 25% Merlot","trocken","granatrot","0,75 l","12,5 %","< 2 g/l","< 5,0 g/l","16-18 °C","ideal zu dunklem Fleisch, Käse, Aufläufen und zu festlichen Anlässen","enthält Sulfite","James Suckling 93,                                                                                                                                                                                 Robert Parker 90","Château Duhart-Milon-Rothschild, Rue Etienne Dieuzede, 33250 Pauillac, Frankreich"
"https://www.vindor.de/2011er-chateau-mouton-rothschild-ac-pauillac-1er-grand-cru-classe","Château Mouton Rothschild 2011 ist schon jetzt einer der großen Klassiker. 2011 war eines der trockensten Jahre der Geschichte auf Chateau Mouton-Rothschild. Aufgrund der geringen Erträge entstand ein betont feiner Mouton Rothschild, den das Weingut als Klassiker einstuft. Bukett mit Noten von Brombeer, Heidelbeer, Lakritze und Cassis. Ein großer Erfolg für das Jahr. Das Etikett wurde von dem französischen Maler und Bildhauer Guy de Rougemont gestaltet - ein zeitloser Klassiker mit tollen Entwicklungspotenzial.","2011er Château Mouton Rothschild, AC Pauillac 1er Grand Cru Classé","Frankreich","Pauillac","Château Mouton Rothschild","Rotwein","1. Grand Cru Classée","87% Cabernet Sauvignon, 13% Merlot","trocken","dunkelrot mit kirschfarbenen Reflexen","0,75 l","13 %","1,6 g/l","3,3 g/l","18 °C","zu feinen gebratenen oder geschmorten Fleischgerichten von Rind und Lamm, zu zartem Wildfleisch vom Reh oder Hirschkalb oder auch zu einer gebratenen Gans","enthält Sulfite","WEINWISSER 18,                                                                                                                                                                                 James Suckling 96,                                                                                                                                                                                 Robert Parker 92,                                                                                                                                                                                 Wine Spectator 95 Punkte","Château Mouton Rothschild, 33250 Pauillac - France"
"https://www.vindor.de/2012er-promontory-promontory-vinery-napa-valley","Weltweit stark gefragter Ausnahmewein aus dem Napa, sehr stark limitiert. Robert Parker gibt 97 Punkte und schreibt: Wine Advocate-Parker : ""The 2012 Promontory, which is the softest vintage to date, was slightly better this year than last year, as it had rounded out. It does not have the depth of the 2013, but it is a great wine on its own merits. Notes of new saddle leather, loamy soil, and crushed rock intermingle with blackcurrants, plum, tobacco leaf and spice in a full-bodied, wonderfully pure and large-scaled style with ripe, well-integrated tannin. It is accessible enough to enjoy, and in spite of its massiveness, it is certainly capable of evolving beautifully for 30 or more"" ( 28.10.2016)","2012er Promontory, Promontory Vinery, Napa Valley","USA","Napa Valley","Promontory Winery","Rotwein",,"Cabernet Sauvignon, Malbec,Petit Verdot","trocken","Dunkel, tiefgründig","0,75 l","14,5 %",,,"16-18 °C","Wildgerichte, kräftiges Fleisch und zu festlichen Anlässen","enthält Sulfite","Robert Parker 97","Promontory Winery, Napa Valley, 1601 Oakville Grade Rd, Oakville, CA 94562, USA"
"https://www.vindor.de/2013er-chateau-duhart-milon-rothschild-ac-pauillac-4.-grand-cru-classe","Der WeinWisser (Rene Gabriel) gibt 17/20 Punkte und schreibt: ""Tiefes Purpur, satt in der Mitte, Granatschimmer am Rand. Genau so wie erwartet, barock, tief, etwas trocken mit Teernuancen und getrockneter Pflaumenhaut. Im Gaumen rustikaler als der Carruades, zeigt Muskeln Gerbstoffgerüst, kerniges Extrakt. Ein rustikaler, aber lagerfähiger Duhart im artisanalen Bordeaux-Stil. Braucht mindestens 10 Jahre zu ersten Reife. warten (2023 - 2040) '' -  JamesSuckling gibt 90/100 Punkte und schreibt: ""A beautiful wine with plum, berry and Spanish cedar. Some chocolate, too. Medium to full body, fine tannins and a fresh finish. Fine tannin texture""","2013er Château Duhart-Milon-Rothschild, AC Pauillac, 4. Grand Cru Classé","Frankreich","Pauillac","Château Duhart-Milon-Rothschild","Rotwein","AC Pauillac 4. Grand Cru Classé","75% Cabernet Sauvignon, 25% Merlot","trocken","granatrot","0,75 l","13 %","< 2 g/l","< 5,0 g/l","16-18 °C","ideal zu dunklem Fleisch, Käse, Aufläufen und zu festlichen Anlässen","enthält Sulfite","WEINWISSER 17,                                                                                                                                                                                 James Suckling 90,                                                                                                                                                                                 Wine Spectator 88-91","Château Duhart-Milon-Rothschild, Rue Etienne Dieuzede, 33250 Pauillac, Frankreich"
